domain,method,n_xi,n_eta,n_zeta,converged,iterations,runtime_ms,residual,min_scaled_jacobian,inverted_cells,corner_inverted_cells,min_sampled_jacobian,jacobian_check_scope,orthogonality_score,directional_length_difference,volume,volume_cv,aspect_p95
Куб,Метод упругих нитей (3D),11,11,11,True,1,13.295113000026504,4.965068306494546e-15,0.9999999999999998,0,0,7.999999999999924,27 tensor points per cell; not a certificate,1.0,2.3664403769885206e-16,8.0,1.3127714035023535e-15,1.0000000000000029
Куб,Mean ratio (3D),11,11,11,True,0,24.06214600000567,7.779887845060791e-16,0.9999999999999998,0,0,7.99999999999989,27 tensor points per cell; not a certificate,1.0,3.5897211129546734e-16,7.999999999999999,2.0964668797108467e-15,1.000000000000004
Куб,"Адаптивное натяжение (3D, mu=0.1)",11,11,11,True,0,21.895126000003984,3.0072819234838727e-15,0.9999999999999998,0,0,7.99999999999989,27 tensor points per cell; not a certificate,1.0,3.5897211129546734e-16,7.999999999999999,2.0964668797108467e-15,1.000000000000004
Скрученный куб,Метод упругих нитей (3D),11,11,11,True,32,404.1773239999884,4.918894433765893e-15,0.9226629874205134,0,0,7.301342459638666,27 tensor points per cell; not a certificate,0.985406034008561,0.007792464947352002,7.534228306425808,0.026952715485899847,1.4132270509408997
Скрученный куб,Mean ratio (3D),11,11,11,True,16,68.23212500000864,9.90145506310408e-07,0.9226629874205134,0,0,7.258186215311131,27 tensor points per cell; not a certificate,0.9855605253281757,0.008082727017802604,7.534228306425808,0.02393698843012217,1.4132849103698955
Скрученный куб,"Адаптивное натяжение (3D, mu=0.1)",11,11,11,True,20,73.61975300000267,1.7392539813065323e-05,0.9226629874205134,0,0,7.117414575581642,27 tensor points per cell; not a certificate,0.9855503450947519,0.009005478764118368,7.534228306425808,0.009636918095988115,1.4292010547600107
Шар,Метод упругих нитей (3D),9,9,9,True,1,7.299231999979838,3.451079653686751e-15,0.07215107833867948,0,0,0.0850356420105502,27 tensor points per cell; not a certificate,0.98471963450949,0.017583059960539073,4.110374537322629,0.42116050102139646,3.1196070948558035
Шар,Mean ratio (3D),9,9,9,True,27,75.6623080000054,1.4919706070716608e-06,0.07215107833867948,0,0,0.0850356420105502,27 tensor points per cell; not a certificate,0.9896556173344472,0.02622557934307897,4.110374537322628,0.36836357306661655,2.102145777012464
Шар,"Адаптивное натяжение (3D, mu=0.1)",9,9,9,True,63,155.09535099999994,1.6270834628157038e-05,0.07215107833867948,0,0,0.0850356420105502,27 tensor points per cell; not a certificate,0.9689107951467715,0.04570789654002531,4.110374537322629,0.2211653531302707,2.24730871293919
Арковая призма,Метод упругих нитей (3D),11,11,11,True,41,550.4333700000075,1.5841599822254974e-15,0.9512644107640498,0,0,1.084705778844958,27 tensor points per cell; not a certificate,0.9990338006400248,0.11458244579226445,2.4644105301402055,0.36516930069584147,4.992565649472504
Арковая призма,Mean ratio (3D),11,11,11,True,66,192.25708700002997,1.8116115807381532e-06,0.9661788158675307,0,0,1.2813224556612923,27 tensor points per cell; not a certificate,0.9996030472179569,0.11539095917039871,2.4644105301402055,0.3190241519898631,4.956319510900009
Арковая призма,"Адаптивное натяжение (3D, mu=0.1)",11,11,11,True,81,232.5839399999836,1.3253558036243674e-05,0.8112358006673569,0,0,0.5300368443558827,27 tensor points per cell; not a certificate,0.9932722012158408,0.11425775100686343,2.4644105301402055,0.40846599741788947,8.242190822555278
